60 Ft. Dolls|Brown, Arthur|Cooper, Alice|Dark Heresy|Electric Orange|Freak Kitchen|Glover, Corey|Hassett, Brian||Johnson, Brian|Kind Tot|Love Sex|Medicine Rain|New York Rock & Roll Ensemble|Orion, Doreen|Prophet, Chuck|Q-Squad|Ransom, Bill|Saber Tiger|Tankard, Ben|U.P.O.|Victor, David|Wyman, Bill|X-Cops|Young (Tribute), Neil|
1.8.7|B-Thong|Clauss, Arno|Deris, Andy|Extreme II|Frehley, Ace|Goldy, Craig|Hatch, Coney|Idol, Billy|Johansson, Calvin M.||Lewis, C. S.|Mind Riot|Nova, Aldo||Powell, Cozy|Quartzlock||Street Talk|Torme, Bernie|U2|Valentine, Evelyn Pasteur |Welch, Bob|X-Wild|Y & T|
18 Hits (Series)|B.B. King|Champlin, Bill||Ethel the Frog||Gray, Dorian|Havoc Mass|Impellitteri, Chris|James, Colin|Kissing the Pink||Mob 47|Nelson, Jim||Pink, Frijid|Queen||Slywotzky, Adrian J.|Thorpe, Billy|UFO|Violent, Johnny|Watts, Charlie|XYZ|Yearning|
20th Century Masters: The Millennium Collection (Series)|Baby Boomer Classics (Series)|Cameron, Bruce|Dickinson, Broose|E-Town Concrete||G.B.H.|Hazel, Eddie||Johnny Thunders|Knot, Gordian|Leonard, Deke|Masi, Alex|Norum, John|O.D.C.|Page, Jimmy|Queen (Tribute)|Roth, David Lee|Silvestri, Alan|Townsend, Devin|U.D.O.|Valentine, Robby|Wrench, David|XYZ (Japanese)||Zappa, Frank
25 Ta Life|Baby Mammoth|C.O.T|Dickinson, Bruce|E-Z-O|Freiberg, David|GTR|Hughes, Glenn|I'm'l|Johansen, David|Kay, John|Liddy, G. Gordon||N Dementia|O.Z.|Perry, Joe|Queens Of The Stone Age||Sweat, Axel||Ugly Kid Joe|Vai, Steve|Wolf, Don|Xorcist|Yesterday & Today|Zombie, Rob
3rd and the Mortal|Babylon A.D.|CJSS|Dog Eat Dog|Earth|Fatal Opera|Galactic Cowboys|Happy Rhodes|Gillian & Javelins, Ian|Earl Jackson Jr., Earl|KMFDM|Lynch, George|Marsden, Bernie|NOFX|O.s.t.|Palmer, John|Queensryche|Roberts, Kane|Sheehan, Billy|Tipton, Glenn|Ugly Stick|VH1 Storytellers (Series)|Waybill, Fee|||Zeros, The
4 Skins|Bachman Turner Overdrive|CKY|D'Molls|Earth Crisis|F.d.s.|Galddalf|Howe, Greg|Ice Age||Kalashnikow|Lake, Greg|McRackin, Bil|NOK|Oasis|Pitch Shifter|Quicksand|Reed, Lou|Squier, Billy||Uglystick|Vader|Williamson, James||Yosh|ZZ Top
40 Grit|Backfire!|COCOBAT|D-Age|Earthshaker|Face Of Anger|Gameface|H|Iceberg/Man|Johnson (Rock), Eric|Kamelot|Lee, Jake E.|May, Brian|NRA|Obituary|Patton, Mike|Quiet Riot|Riskin, Martin|Seger, Bob|Turner, Joe Lynn|Ultimate Spinach|Vagabonds|Walsh, Joe||Young, Neil|Zakk Wylde's Black Label Society
|Backyard Babies|Cacophony|D.G.F.|Earthtone 9|Facehugger|Gamma Ray|H-Blockx|Iced Earth|J.B.O.|Kampfar|Lord, Jon|May (Soundtracks), Brian|Naglfar|Obliveon|P Diddy|Quiet Room, The||Scott, Bon|Tempest, Joey|Ultimatum|Vainberg/Levitin|West, John|||Zao (Heavy Metal)
69 Eyes|Bad Brains|Cactus|D.I.|Easy Riders (Series)|Faces|Ganafoul|H-Bomb|Icekalt|Jackyl|Karma To Burn|Livgren, Kerry|Miles, Buddy|Nailbomb|Obsession|P-Ski Mac|Quireboys|Ronson, Mick|Sykes, Charles J.||Ultraspank|Valensia|Wetton, John|||Zar
