0,21|B Machine, The |C & C Music|D Generation|E|F  |G B H|H & Claire ; http://www.handclaire.com/ |I|J Base|K|L.A. Cruisers ; http//www.lacruisers.org/||*N Sync ; http://www.nsync.com/|http//www.thebismarck.com/|P Whips|Q & Not U||S Club|T 2|U La La La|V For Vendetta|W.A.S.P.|X (Australia)|Y|Z. Wheeler ; http//www.zwheeler.com/
0,22|B Thong|C & C Music Factory|D Mona|E Dunn|F Hue / Various|Barbara George |H II H|i 5 Cereali |J Church ; http://www.j-church.com/|Gladys Knight & the Pips |L.A. Gateway||N & Sk|O|P.B.R. ; http//www.pbrpunks.com/|Q ; http//www.qmusicaustralia.com/|R & R Hall Of Fame|S Club 7 ; http://www.sclub.com/|T Bell|U Srinivas|V Snares|Grover Washington, Jr. |X (Japan)|Y&T|Zabadak ; http://www.zabadak.net/
0,33|B! Machine ; http//www.wishduck.com/|C C Catch|D Of Trinity Garden|E. Coli|F Y P|G. Love & Special Sauce|H.A.F.|I Am 7|J for Jules ; http//www.jforjules.com/|K Paul|L.A. Guns|M |N&Sk (Nomades & Skaetera)|O C C|P.C. Quest |Q Town|R Angels|S Club Juniors ; http://www.sclubjuniorsonline.com/|T Bolan|U Totem|V-3|W.A.X.D ; http//www.waxd.rocks.it/|X (Japanese Band)|Y.H.A.T.|Zach
3|B*Witched ; http://www.b-witched.com/|C In A Circle|D Plus|E. Dive|f**BOMB  |G.B.H. |H.D.K.|I Am Kloot ; http//www.iamkloot.com/|J Soul Brothers|K Through Six|L.A. Guns |M Appeal|N.A.G.|O Level|P.I.T.T. ; http//www.pitt.za.org/|Q-Electronics|R. Miller |S&M ; http//www.SnMmusic.com/|T Minus 10 |U Utah Phillips|V6 and Japanese Pop Station |W.O.S.P.|X ; http://www.xtheband.com/|Y2k / Various|Zack's Bookmarks 
4|B. Bumble & The Stingers|C K B Featuring Bob|D Product|E.A.R.|F..Kius Band|G.B.H. ; http//www.punkjunkies.com/|H.I.M.|I Am Sam|J.|K, David|L.A. Rockabilly Again / Various|M Beat|N.E.R.D.|O S T|P.J. Harvey|Q-Feel |R.E.C.|S, M, A, S, H|T Seven|U.D.O.|VA- Duran, Duran|W.T., The ; http//www.thewt.com/|X Brothers|Y3K ; http//www.y3kband.com/|Zadora, Pia
7|B. Down|C. Conrad & Friends|D Saxmo|E.R.|F.B.I.|G.D. Flickers|H.I.M. |I Am Spoonbender ; http//www.iamspoonbender.com/|J. Frank Wilson & The Cavaliers |K, Suzy ; http//www.suzyk.com/|L.A.F.M.S.|M Path|N.I.L.8 ; http//www.nil8.com/|O.A.R.|P.M. Dawn |Q-Feel |R.E.M. ; http://www.remhq.com/|S.C.A.L.P.|T*H*E*M (Thee Human Ego Maniacs) |U.K. Subs |VA-#1 Hits: 1965-1969|Wa Wa Nee |X GAMES|Y3k: Deep Progressive Breaks / Various|Zager, Michael Band
16|B. Movie|C. Gibbs/Cardia Bros|D Singles 1 / Various (Box Set)|E.R.A.|F.H.L. |G.H From The 70'S / Various|H.N.A.S.|I Am The World Trade Center ; http//www.iamtheworldtradecenter.com/|J. Geils Band |K.C. & The Sunshine Band|L.A.L.|M People|N.M.L. (Ryuichi Sakamoto)|O.C. Supertones |P.O.D.|Qoph|r.h.Factor|S.E.N.S.|T. Boz |U.K. Subs ; http://www.uksubs.co.uk/|VA-#1 Hits: 1970-1974|Wa-Chic-Ka-Nocka / Various|X Marks The Pedwalk|Y4k / Various|Zager, Michael Band/Lime
27|B.A.S.S.|C. Jane Run ; http//www.cjanerun.net/|D Train |E.U. |F.L.O. ; http//www.F-L-O.com/|G.U.N. - Scottish band. |H.O.T.  |I Burn|J. Geils Band ; http//www.jgeils.com/|K.D.A.|L.A.P.D.|M Phase ; http//www.mphase.tk/|N.O.E.|O.M.D.|P.O.L.|Q-Squad|R.O.C. ; http//www.rocmusic.com/|S.F. Seals |T. Rex |U.P. ; http//www.UnleashedPower.com/|VA-#1 Hits: 1975-1979|Wachirabunjon, Pongpat (Off) ; http//www.pongpatclub.com/|X Que (Spa) / Various|Y4k: Koma & Bones / Various|Zain, Ziana  
44|B.B. King ; http://www.bbking.com/|C.A. Quintet|D*Note|E-17|F.O.C.U.S  |G2K: Genocide 2000 ; http//www.g2kmusic.com/|H.P. Lovecraft|I Can Lick Any Son Of A Bitch In The House|J. Majesty|K.G.B., The|L.E.D. |M S G|N.O.Fi Compilation|O´ Brien, John ; http//www.johnobrienmusic.com/|P.O.W.E.R.|Q-Tip |R.P.R.|S.H.E ; http://www.she-ambience.org/|T.A.R.|U.P.O.|VA-#1 Hits: 1980-1984|Wackerman, Chad|X Union|Yabemilk|Zak Daniels and the One Eyed Snakes ; http//www.zakdaniels.com/
58|B.E.F.|C.A.N.|D. Boon (1958-1985) (4) |E-40 ; http://www.e-40.com/|F.O.D.|Gabka, Schwamm|H.P. Zinker|I Can't Believe It's Not Punk ; http//www.notpunk.com/|J. Ralph|K.J.|L.i.B |M&C Hernderson|N.O.T.A.|O´Neal, Alexander|P.O.X.|Quad City DJ's|r.u.n ; http//www.r-u-n.co.uk/|S.L.S.|T.A.S.C. |U.S. Bombs|VA-#1 Hits: 1985-1989|Wackside|X.E.S.|Yacht Club Boys |Zakain ; http//www.zakain.com/
108|B.G.K.|C.C.C.Inc.|D.A.D.|Ea 80|F.O.F.|Gabrels, Reeves|H.R. Giger/Akron|I Drive|J.B.O.|K.U.K.L.|L.O.L.A.|M&M|N2deep|OAE |P.S. I Love You|Quad City DJ's |Ra|S.O.D.|t.A.t.U. ; http://www.tatu.ru/|U.S. Chaos ; http//www.uschaos.com/|VA-#2 With A Bullet-Hits Of Th|Waco|X.I.D.|Yachts|Zakary Thaks
135|B.L. Underwood |C.E.M. -N- EFFECT |D.A.F.|Eager, Vince ; http://www.vinceeager.co.uk/ |F.O.H.|Gabriel, Ana|H.T.3|I Forget|J.D. And The Ravens|K.W.S. |L.Q.N.|M.|N2Deep |Oag|P.Y.T.|Quadbox |RA ; http://www.raband.net/ |S.O.S.|T.C. Atlantic|U.S. Maple|VA/Chemical Brothers|Waco Brothers|X1 Xray|Yacopsae|
231|B.O. Lin: Kliff Rockabilly / Various|C.O.B.|D.C. Moon|Eagle Bravo - some swell links to zines, PHRACKish sites, comics and punk, lefty stuff. |F.Y.P.|Gabriel, Peter |H.W.A.|I Got Rhythm / Various|J.J. Paradise Players Club|K3|L.S.D.|M. Walker |N8|OAG  |P76|Quadflieg & Dockerrill|Rabatz|S.O.S. Band |T.H.C. |U2 ; http://www.u2.com/|VA_|Wada, Akiko|X10|Yaen|Zakk Wilde ; http://www.zakkwylde.com/
310|B.O. Metal: Hard & Soft / Various|C.O.C.O.|D.G.F.|Eagle-Eye Cherry ; http://www.eagle-eye-cherry.com/|F.Y.P. / Chaniwa|Gabriel, Peter ; http://www.petergabriel.com/|H2O ; http//www.h2ogo.com/|I Hate You|J.K. & Co.|Kabah |L.S.G.|M. Walking On The Water|N8chtschicht|Oakenstar, Jess Hawk|Pablo Augustus|Quadjets|Rabbit|S.O.U.L.|T.H.D.|Ua|VA-100% British Mod|Wada, Sunao|X3|Yagami, Junko|Zakk Wylde Black Label Society
311|B.O. Pop (Eng) / Various|C.S. Angels|D.I.|Eagles, The ; http://www.eaglesmusic.com/|F/i |Gabrielle ; http://www.gabrielle.co.uk/|H2so4|I Like It Like That|J.M.K.E.|Kabalas|L.Stinkbug|M., John|Nabatmore. |Oakes, Richard |Pablo Cruise|Quadrajets, The ; http://www.quadrajets.com/ |Rabbit (John Bundrick)|S.P.O.C.K.  |T.H.E.M. Thee Human Ego Maniacs ; http//www.t-h-e-m.com/|UB40|VA-100% British Ska|Waddle|X-Addict |Yage ; http//www.yage5.de/|Zallen ; http://www.zallenmusic.com/
404|B.O. Rock 2 / Various|C.Y.B.|D.I.Y. ; http//www.diyrocks.com/|Eaglesmith, Fred|F4   |Gack|H3o|I Like Rice |J.P Jones|Kabarettich|L.T.D. |M.A.K.|Nabors Jim ; http://www.jimnabors.com|Oakley Krieger Band |Pacer|Quadrofiends, The |Rabbit Hill ; http//www.rabbithill.de/|S.S. Bumblebee|T.I.N. Men|UB40 |VA-100% Handmade|Wade, Cliff|Xalt|Yaggfu Front|Zambonis ; http://www.thezambonis.com/
