10-9-Tus|B. Joe  ; http://www.b-joe.com/|C Pop ; http://www.c‑pop.dk/|D:Code ; http://www.d.code.person.dk/ |E.P.O.|Fabulous Rock'n'roll Band, The ; http://www.fabs.dk/|Gamle Mand og Havet, Den  ; http://www.theoldman-and-thesea.com/|H2so4 |Ib The Prune ; http://www.ibtheprune.dk/|Jack Cannon & The Sidefills|Kantarel|La Bondage;, http://www.labondage.dk/|M-A-P|N`evergreen ; http://www.nevergreen.dk/|...og hans løkke ; http://www.oghansloekke.dk/|P.h.D|Queen Show feat. Killer Queen ; http://www.killerqueen.dk/|R*A*C|Safran ; http://www.safran.nu/info.html|T‑Law ; http://www.t‑law.dk/|Ulrikkeholm, Majbritte|Vano Mills ; http://www.knracing.dk/vanomills/ |Wake, The|X'Plain ; http://www.xplain.dk/|Yasmin|Zapp Zapp ; http://www.eranndd.com/music/discography.asp|Ørenlyd ; http://www.orenlyd.com/||Åberg  ; http://www.aberg.dk/
10 Feet Tall|Baal ; http://www.baal.dk/ |ca8,3|D:A:D ; http://www.d‑a‑d.dk/|ECHand|Faith No More ; http://www.fnmjam.dk|Gangway ; http://www.click2music.dk/kunstnere.asp?id=166|Hackensack ; http://www.hackensack.dk/|Ibens ; http://carstenlykke.dk/|Jack Frost|Karen ; http://www.k‑a‑r‑e‑n.dk/|Labrador ; http://www.labrador.dk/ |Mabel ; http://www.rockdoc.dk/art10072.html|N´Stuff ; http://www.nstuff.dk/|Oasis Jam|P.O.R.N|Quo ; http://www.quo.dk/|Racetrack Babies ; http://www.racetrackbabies.dk/|Safri Duo ; http://www.safriduo.dk/|Taaq|Unafraid ; http://www.unafraid.dk/ |Varitation|Walk The Walk|Xantom  ; http://www.xantom-online.dk/|Yellowbellies ; http://www.yellowbellies.dk/|Zeebra|Østkyst Hustlers ; http://www.hustlers.dk/||Ålborg Fredsorkester
12Gauge|Baby Woodrose  ; http://www.babywoodrose.com/|Cactus Circle|Dacapoband ; http://dacapoband.dk/|Eddie Mudbug & The Mean Cleaners ; http://www.mudbug.dk/bandet1b.htm|Falden Rysgaard|Garbo ; http://www.garbomusic.com/|Hair|Ikke Noget|Jaguar  ; http://www.jaguarsite.dk/|Karen Busck ; http://www.karenbusck.dk/|Lady Lazarus ; http://www.ladylazarus.dk/|Mac P´sens ; http://www.macpsens.dk/|Naïve|Obstinate Esther  ; http://www.obstinate.dk/|Pace ; http://www.soundofpace.dk/|Quote Pop|Racing Ape ; http://www.racingape.com/|Sakura|Tadzio ; http://www.tadzio.dk/|Uncle Franks Rash ; http://www.unclefranksrash.dk/ |Vat 69|Walkers ; http://www.walkers.dk/|Xeniax ; http://www.xeniax.dk/|Yesterday|Zentury|||
18th Dye|Back To 65 ; http://www.back‑to‑65.dk/|Cainable ; http://www.cainable.dk/|Dahn ; http://www.dahn.net/|Edisons |Fake Air|Gardelli ; http://www.gardelli.dk/|Hairspray Queens  ; http://www.hairsprayqueens.dk/|Illeborg, Laura|Jain|Karl Gade|Laid Back ; http://www.laidback.dk/|Mach, Rikke ; http://www.rikkemach.dk/ |Naked|Octavia ; http://listen.to/octavia/|Pale ; http://www.pale.dk/|Quote Unquote  ; http://www.babel.dk/quote/|Rag City Dolls  ; http://www.ragcitydolls.com/|Salem ; http://www.houseofsalem.dk/index_flash.html|Taggy Tones ; http://www.taggytones.dk/ |Under the Moon|Vegas, Lisa ; http://www.lisavegas.dk/|Wanderlust ; http://www.wanderlust.nu/ |Xoxo|You Know Who|Zeppelin Experience ; http://www.zeppelinexperience.com/|||
2late ; http://www.2late.dk/|Back In Black ; http://www.asgardbrew.dk/|Camarco ; http://www.camarco.dk/|Daily Me ; http://www.dailyme.dk/|Educe |Far Out|Garden Nine |Halberg‑Larsen ; http://www.poulhalberg.dk/  |Immigrants, The|Jame|Karma Bliss ; http://www.karmabliss.com/|Lake Placid ; http://www.lakeplacid.dk/ |Mad Parker ; http://www.madparker.dk/ |Naked Fish ; http://www.nakedfish.dk/|Odd Gallery|Pale Imitation Of Love||Raid|Sand, Ivan  ; http://www.ivansand.dk/|Tambu|Underbyen ; http://www.underbyen.dk/|Velvet|Warm Guns|XPY ; http://www.xpy.dk/ |Young Flowers|Zero|||
20 Pearls for Liza ; http://www.liza.dk/|Back to black  ; http://www.backtoblack.dk/|Campsite ; http://www.campsite.st/|Dalton|Effi & Eliten|Fat-Fingers ; http://www.fat-fingers.com/|Garn|Halfdan E. ; http://www.halfdane.dk/|Impish|James Brown Jam ; http://www.jamesbrownjam.dk/|Karvax ; http://www.it‑c.dk/~cp/karwax/ |Lampshade ; http://www.lampshade.dk/|Mads Bloch Band ; http://www.madsblochband.dk/|Naked on stage ; http://www.kusk‑events.dk/artist/nakedonstage.htm|Offbeat|Palooka ; http://www.palooka.dk/||Rainfull Years, The|Sandmen, The |Tatar  ; http://www.pnohnen.dk/tatar/tekst.htm|Underdogs, The|Venice|Waterline ; http://www.waterlines.dk/||Ystad|Zeven ; http://www.zeven.dk/|||
3Plus|Back to Back ; http://www.backtoback.dk/|Camille Jones ; http://www.camillejones.dk/|Damm, Lis ; http://www.rockdoc.dk/art10047.html|Efraim|Fazill ; http://www.fazill.com/|Gasolin|Hallå Kool ; http://www.hallaakool.subnet.dk/#|Incoming|James Sampson ; http://www.jamessampson.dk/|Kashmir ; http://www.kashmir.dk/|Langborg, Malene  ; http://www.malene.dk/|Maggots, The|Nalle ; http://www.danskmusik.com/dmfbook/rock/html/rock_nalle.html|Offroad ; http://www.offroad‑band.dk/|Pan||Ramparts|Sanne Gralund ; http://www.sannegraulund.dk/ |Taurus|Underholdet ; http://www.underholdet.dk/|Venus|W.A.T.H.|||Zididada ; http://www.zididada.com/|||
30 Inch Dog|Back Soon|Candlespark ; http://www.candlespark.dk/|Damon Coward and the Comedians ; http://www.coward.dk/|Elisabeth ; http://www.elisabeth.dk/start.html|Fear of Music ; http://www.fearofmusic.dk/main.html|Gas4you ; http://www.gas4you.dk/Gas4you/|Hamburger Sally|Incontinence|Janes Rejoice|Kasper Vinding|Larry Nelson ; http://www.larrynelson.dk/|Magtens Korridorer ; http://www.magtenskorridorer.dk/|Nanna  ; http://www.myspace.com/nannaluders|OK Kings|Park the bench||Randi Laubek ; http://www.randilaubek.dk/|Sanne Salomonsen ; http://www.sannesalomonsen.dk/|Tears|Unholy|Veranda|Walk The Dog ; http://www.walkthedog.dk/|||Zillmer ; Pernille|||
30es, The|Bad Boys of Boogie ; http://www.badboysofboogie.dk/|Cannibals|Dan Klarskov ; http://www.klarskov.net/|El Ray ; http://www.elray.dk/|Fevre, Henrik ; http://www.henrikfevre.dk/|Gatsby ; http://www.gatsby‑band.dk/|Hamilton, Michael  ; http://www.michaelhamilton.dk/|Indigo Sun ; http://www.indigosun.dk/|Janosch ; http://www.playrec.dk/janosch/|Kavita|Lars Danielsson ; http://www.larsdanielsson.dk/|Make MyDay|Napoleon Solo  ; http://www.napoleonsolo.dk/|Olafsson, Finn  ; http://www.olafssongs.dk/|Parkering Forbudt||Random Footprint ; http://www.randomfootprint.com/|Saranoah |Tears For Jeanie ; http://www.tearsforjeanie.dk/|Unrefined  ; http://www.unrefined.dk/|Vestergaard, Lasse  ; http://www.lassevestergaard.dk/|Walther & Haines Trio|||Zindy ; http://www.zindy.dk/|||
4-play ; http://www.4‑play.dk/|Bad Monday ; http://www.badmonday.dk/|Capitalism|Dan Skotvig|El Video ; http://www.elvideo.dk/|FFWitt|Get Off ; http://getoff.dk/site|Hanbajerne|Infocent|Jaraspiers ; http://www.jaraspiers.puz.dk/|Kaya ; http://www.kayabruel.dk/|Lars Lilholt Band ; http://www.larslilholtband.dk/ |Malene Longborg |Natmaskinen ; http://www.natmaskinen.dk/|Old Spice ; http://www.oldspice.dk/|Parlermo Surf Experience, The||Rasmus Hedeboe ; http://www.rasmusic.dk/|Sarcasm  ; http://www.sarcasm.dk/|TechRockRap  ; http://www.techrockrap.1go.dk/|Unseen Addiction ; http://www.unseenaddiction.com/ |Vesterskov, Michael|Waves, The|||Zynergy ; http://www.zynergy.dk/|||
