112|Andre Broadnax|||||||||||||||Queen Bee & Blue Hornet Band||||U.N.V.|||Xavier||Axel Zwingenberger
3LW ; http://www.3lw.com/|Angela Bofill|||||||||||||||Queen Samantha||||U.S. Naval Academy Gospel Choir|Billy Vera & the Beaters||Xclusive|Yaspan, Brian L. |Hans Zimmer
3rd Storee|Anita Baker||||||||||||94 East|Alexander O'Neal|Ann Peebles|? & the Mysterians|Andrew Rivers|||UWF All Stars|Doreen Vail||Xplicit|Christopher Young|Matthew Zacharias
3T|B-Tribe||||||||||Albert Lee||Aaron Neville|Billy Ocean|Antonio Prieto|Quiet Elegance|Ann Rabson|||Ulmer, James Blood |Vinson, Eddie 'Cleanhead' ||Xscape|Ericka Yancey|Zakiya
5th Dimension|B.B.|||Adriana Evans||||||Alexis Korner|Amel Larrieux||Ann Nesby|Jeffrey Osborne|Art Porter|Quindon|Barbara Randolph||2 Men 4 Soul|Ultimate|Ellee Van|||Hudson Young|Zakiyah
702|B.B. King||||Foday Musa Suso||Hound Dog Taylor|||Alicia Keys ; http://www.aliciakeys.net/|Antonia Lawrence||Art Neville|Joan Orleans|Bernard Purdie||Bic Runga||2GM|Uncle Sam|Jeffrey Valentine|Aarin Woods||Marvin Yates|Zap Mama
5 Star|B.B.E.|Ace Cannon||Barbara Jean English|||Aaron Hall|||Artie Kane|Archie Love||Newberry III, Booker|Kevin Owens|Big Pig||Bobby Rush||A Tribe Called Quest|Unifics|Julian Vilante|Abi Wallenstein||Matthew Zacharias|Zapp
5" Royales, The|B.O.S.E.|Arthur 'Big Boy' Crudup||Betty Everett|Fantastic Johnny C||Adina Howard|||King, Ben E. |Barbara Lewis||Charmaine Neville|Lee Oskar|Billy Paul||Brenda Russell||Acrylic Tones|Unified Tribe ; http//www.unifiedtribe.net/|Luther Vandross|Akure Wall||Pete York|Zebrahead
A-James|B.T.F.|Arthur Conley||Billy Eckstine & His Orchestra|Anna Fisher||Alfonzo Hunter|||Bess Kincade|Barbara Lynn||Chris Nole|Marvin Olasky|Billy Porter||Brooke Russell||Taylor, Aisha Angela |Universal Species|Mak Villain|Albert Washington||Y.W.F.C.|Zhane
A.S.A.P.H.|B.t. Express|Barbara Carr||Claude Ely|Aretha Franklin||Anthony Hamilton ; http://www.anthonyhamilton.com/index2.html||Al Jarreau|Knight, Beverley Feat. Redman |Bettye Labette||Cyrille Neville|O'Bryan|Billy Preston||Calvin Richardson||Alesia Turner|Unlimited Beat|Rick Vito|Alyson Williams||Y?n-Vee|Zsanna
ABC's Of Soul (Series)|B00000JXFQ|Betty Carter||Dennis Edwards|Bobby Freeman|Al Green ; http://www.algreenmusic.com/|Beres Hammond||Al Johnson|Beverley Knight ; http://www.beverleyknight.com/|Big Joe Louis||Norman & the Specialists, Dr. Rob |O'Jays|Bobbi Page||Rux, Carl Hancock ||Allen Toussaint|Urban Dub|Sarah Vaughan|Andre Williams||Yarbrough & Peoples|Zulema
